"WorkerId","Input.List","SceneID","Description","RefType","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","FirstWord"
35,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
37,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
38,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
40,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
42,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
43,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
45,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
46,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
49,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
50,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
52,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
53,"TlessC1",6,"trinagle","2","NoContrast","square","striped","yellow","Min","trinagle"
55,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
56,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
60,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
63,"TlessC1",6,"triangle with lines","2","NoContrast","square","striped","yellow","Min","triangle"
66,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
69,"TlessC1",6,"pyramid","2","NoContrast","square","striped","yellow","Min","pyramid"
