"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","test",4,"big","hat",1,1,1,1,0.457831325301205
"contrast","unreliable","adjective","competitor","test",4,"big","hat",1,0,0,0,0.359724612736661
"contrast","unreliable","adjective","other","test",4,"big","hat",1,0,0,0,0.182444061962134
"contrast","unreliable","adjective","target","test",4,"big","lock",1,1,1,1,0.40952380952381
"contrast","unreliable","adjective","competitor","test",4,"big","lock",1,0,0,0,0.187301587301587
"contrast","unreliable","adjective","other","test",4,"big","lock",1,0,0,0,0.403174603174603
"contrast","unreliable","adjective","target","test",4,"big","pear",1,1,1,1,0.492063492063492
"contrast","unreliable","adjective","competitor","test",4,"big","pear",1,0,0,0,0.167548500881834
"contrast","unreliable","adjective","other","test",4,"big","pear",1,0,0,0,0.340388007054674
"contrast","unreliable","adjective","target","test",4,"big","pickle",1,0.833333333333333,0.5,1,0.537414965986395
"contrast","unreliable","adjective","competitor","test",4,"big","pickle",1,0,0,0,0.253968253968254
"contrast","unreliable","adjective","other","test",4,"big","pickle",1,0.166666666666667,0,0.5,0.208616780045351
"contrast","unreliable","adjective","target","test",4,"big","plant",1,1,1,1,0.433862433862434
"contrast","unreliable","adjective","competitor","test",4,"big","plant",1,0,0,0,0.386243386243386
"contrast","unreliable","adjective","other","test",4,"big","plant",1,0,0,0,0.17989417989418
"contrast","unreliable","adjective","target","test",4,"big","ribbon",1,1,1,1,0.202821869488536
"contrast","unreliable","adjective","competitor","test",4,"big","ribbon",1,0,0,0,0.492063492063492
"contrast","unreliable","adjective","other","test",4,"big","ribbon",1,0,0,0,0.305114638447972
"contrast","unreliable","adjective","target","test",4,"small","backpack",1,0.5,0.166666666666667,0.833333333333333,0.282186948853616
"contrast","unreliable","adjective","competitor","test",4,"small","backpack",1,0.333333333333333,0,0.666666666666667,0.298059964726631
"contrast","unreliable","adjective","other","test",4,"small","backpack",1,0.166666666666667,0,0.5,0.419753086419753
"contrast","unreliable","adjective","target","test",4,"small","bird",1,1,1,1,0.335600907029478
"contrast","unreliable","adjective","competitor","test",4,"small","bird",1,0,0,0,0.244897959183673
"contrast","unreliable","adjective","other","test",4,"small","bird",1,0,0,0,0.419501133786848
"contrast","unreliable","adjective","target","test",4,"small","bottle",1,0.6,0.2,1,0.373015873015873
"contrast","unreliable","adjective","competitor","test",4,"small","bottle",1,0.4,0,0.8,0.208994708994709
"contrast","unreliable","adjective","other","test",4,"small","bottle",1,0,0,0,0.417989417989418
"contrast","unreliable","adjective","target","test",4,"small","cat",1,1,1,1,0.384479717813051
"contrast","unreliable","adjective","competitor","test",4,"small","cat",1,0,0,0,0.201058201058201
"contrast","unreliable","adjective","other","test",4,"small","cat",1,0,0,0,0.414462081128748
"contrast","unreliable","adjective","target","test",4,"small","cookie",1,0.833333333333333,0.5,1,0.0476190476190476
"contrast","unreliable","adjective","competitor","test",4,"small","cookie",1,0,0,0,0.73015873015873
"contrast","unreliable","adjective","other","test",4,"small","cookie",1,0.166666666666667,0,0.5,0.222222222222222
"contrast","unreliable","adjective","target","test",4,"small","fish",1,1,1,1,0.561904761904762
"contrast","unreliable","adjective","competitor","test",4,"small","fish",1,0,0,0,0.225396825396825
"contrast","unreliable","adjective","other","test",4,"small","fish",1,0,0,0,0.212698412698413
