"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","reliable","adjective","target","filler","electric","guitar",2,0.933333333333333,0.8,1,0.268664563617245
"contrast","reliable","adjective","competitor","filler","electric","guitar",2,0.0666666666666667,0,0.2,0.32018927444795
"contrast","reliable","adjective","other","filler","electric","guitar",2,0,0,0,0.411146161934805
"contrast","reliable","adjective","target","filler","electric","kettle",2,0.928571428571429,0.785714285714286,1,0.252764612954186
"contrast","reliable","adjective","competitor","filler","electric","kettle",2,0.0714285714285714,0,0.214285714285714,0.314375987361769
"contrast","reliable","adjective","other","filler","electric","kettle",2,0,0,0,0.432859399684044
"contrast","reliable","adjective","target","filler","fivecent","coins",2,0.933333333333333,0.8,1,0.258131130614352
"contrast","reliable","adjective","competitor","filler","fivecent","coins",2,0.0666666666666667,0,0.2,0.292720702116675
"contrast","reliable","adjective","other","filler","fivecent","coins",2,0,0,0,0.449148167268973
"contrast","reliable","adjective","target","filler","fountain","pen",2,0.933333333333333,0.8,1,0.356995884773663
"contrast","reliable","adjective","competitor","filler","fountain","pen",2,0.0666666666666667,0,0.2,0.19701646090535
"contrast","reliable","adjective","other","filler","fountain","pen",2,0,0,0,0.445987654320988
"contrast","reliable","adjective","target","filler","glass","bottle",2,0.933333333333333,0.8,1,0.182795698924731
"contrast","reliable","adjective","competitor","filler","glass","bottle",2,0,0,0,0.316436251920123
"contrast","reliable","adjective","other","filler","glass","bottle",2,0.0666666666666667,0,0.2,0.500768049155146
"contrast","reliable","adjective","target","filler","glazed","donut",2,1,1,1,0.342886920270974
"contrast","reliable","adjective","competitor","filler","glazed","donut",2,0,0,0,0.282438770192809
"contrast","reliable","adjective","other","filler","glazed","donut",2,0,0,0,0.374674309536217
"contrast","reliable","adjective","target","filler","gold","bracelet",2,0.933333333333333,0.8,1,0.364149974319466
"contrast","reliable","adjective","competitor","filler","gold","bracelet",2,0,0,0,0.191063174114022
"contrast","reliable","adjective","other","filler","gold","bracelet",2,0.0666666666666667,0,0.2,0.444786851566513
"contrast","reliable","adjective","target","filler","green","bellpeppers",2,1,1,1,0.255286230015472
"contrast","reliable","adjective","competitor","filler","green","bellpeppers",2,0,0,0,0.185662712738525
"contrast","reliable","adjective","other","filler","green","bellpeppers",2,0,0,0,0.559051057246003
"contrast","reliable","adjective","target","filler","green","cabbage",2,1,1,1,0.219763252702007
"contrast","reliable","adjective","competitor","filler","green","cabbage",2,0,0,0,0.414822439526505
"contrast","reliable","adjective","other","filler","green","cabbage",2,0,0,0,0.365414307771487
"contrast","reliable","adjective","target","filler","green","lightbulb",2,0.533333333333333,0.266666666666667,0.8,0.40952380952381
"contrast","reliable","adjective","competitor","filler","green","lightbulb",2,0,0,0,0.236507936507937
"contrast","reliable","adjective","other","filler","green","lightbulb",2,0.466666666666667,0.2,0.733333333333333,0.353968253968254
"contrast","reliable","adjective","target","filler","green","mixer",2,0.933333333333333,0.8,1,0.297894196199281
"contrast","reliable","adjective","competitor","filler","green","mixer",2,0,0,0,0.302003081664099
"contrast","reliable","adjective","other","filler","green","mixer",2,0.0666666666666667,0,0.2,0.40010272213662
"contrast","reliable","adjective","target","filler","hand","mirror",2,0.8,0.6,1,0.271008403361345
"contrast","reliable","adjective","competitor","filler","hand","mirror",2,0.2,0,0.401666666666665,0.286764705882353
"contrast","reliable","adjective","other","filler","hand","mirror",2,0,0,0,0.442226890756303
"contrast","reliable","adjective","target","filler","hawaiian","shirt",2,1,1,1,0.400921658986175
"contrast","reliable","adjective","competitor","filler","hawaiian","shirt",2,0,0,0,0.166922683051715
"contrast","reliable","adjective","other","filler","hawaiian","shirt",2,0,0,0,0.43215565796211
"contrast","reliable","adjective","target","filler","heart","candy",2,1,1,1,0.250261780104712
"contrast","reliable","adjective","competitor","filler","heart","candy",2,0,0,0,0.247120418848168
"contrast","reliable","adjective","other","filler","heart","candy",2,0,0,0,0.50261780104712
