WorkerId,Input.List,SceneID,Description,RefType,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,FirstWord,TargetModificationType,ExactMatch,InitialMatch,MorphemeIncluded,SynFirst,SynIncluded
36,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
37,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
38,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
39,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
42,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
43,TlessC1,4,arrow with triangle,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
48,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
49,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
50,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
54,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
55,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
56,TlessC1,4,bent arrow,2,NoContrast,line,curved,red,Min,bent,0,0,0,0,bc,bc
57,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
59,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
60,TlessC1,4,curved with arrow tip,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
63,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
65,TlessC1,4,curve arrow,2,NoContrast,line,curved,red,Min,curve,N,0,1,1,1,1
67,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
71,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
1,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
4,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
8,TlessC1,5,circle dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,0
9,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
10,TlessC1,5,multi-dotted circle,1,Contrast,circle,spotted,yellow,Min,multi-dotted,0,0,0,0,sd,sd
12,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
25,TlessC1,5,circle with dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
26,TlessC1,5,spotted circle,1,Contrast,circle,spotted,yellow,Min,spotted,1,1,1,1,1,1
27,TlessC1,5,circle with dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
28,TlessC1,5,spotted circle,1,Contrast,circle,spotted,yellow,Min,spotted,1,1,1,1,1,1
29,TlessC1,5,spotted circle,1,Contrast,circle,spotted,yellow,Min,spotted,1,1,1,1,1,1
31,TlessC1,5,speckled circle,1,Contrast,circle,spotted,yellow,Min,speckled,0,0,0,0,sd,sd
32,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
34,TlessC1,5,circle with dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
37,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
39,TlessC1,5,spotted circle,1,Contrast,circle,spotted,yellow,Min,spotted,1,1,1,1,1,1
40,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
46,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
47,TlessC1,5,circle,1,Contrast,circle,spotted,yellow,Min,circle,U,0,0,0,0,0
49,TlessC1,5,circlw with dots,1,Contrast,circle,spotted,yellow,Min,circlw,0,0,0,0,0,sd
52,TlessC1,5,circle with dots in it,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
54,TlessC1,5,spotted circle,1,Contrast,circle,spotted,yellow,Min,spotted,1,1,1,1,1,1
55,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
57,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
61,TlessC1,5,circle with many dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
65,TlessC1,5,circle dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
66,TlessC1,5,dotted circle,1,Contrast,circle,spotted,yellow,Min,dotted,0,0,0,0,sd,sd
68,TlessC1,5,circle with dots,1,Contrast,circle,spotted,yellow,Min,circle,0,0,0,0,0,sd
69,TlessC1,5,cheese,1,Contrast,circle,spotted,yellow,Min,cheese,0,0,0,0,0,0
2,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
5,TlessC1,5,nasty square dots,2,Contrast,circle,spotted,yellow,Min,nasty,0,0,0,0,0,sd
6,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
11,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
30,TlessC1,5,largest concentration dots,2,Contrast,circle,spotted,yellow,Min,largest,0,0,0,0,0,sd
33,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
35,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
36,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
38,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
41,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
42,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
43,TlessC1,5,square,2,Contrast,circle,spotted,yellow,Min,square,0,0,0,0,0,0
