condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
nocontrast,closed,circle,green,12,max,noun,distractor,13,0.0855263157894737
nocontrast,closed,circle,green,12,max,noun,target,93,0.611842105263158
nocontrast,closed,circle,green,12,max,prior,competitor,30,0.4
nocontrast,closed,circle,green,12,max,prior,distractor,27,0.36
nocontrast,closed,circle,green,12,max,prior,distractor.contrast,18,0.24
nocontrast,empty,cube,transparent,15,max,adjective,competitor,116,0.376623376623377
nocontrast,empty,cube,transparent,15,max,adjective,distractor,12,0.038961038961039
nocontrast,empty,cube,transparent,15,max,adjective,distractor.contrast,33,0.107142857142857
nocontrast,empty,cube,transparent,15,max,adjective,target,147,0.477272727272727
nocontrast,empty,cube,transparent,15,max,noun,competitor,80,0.343347639484979
