"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"contrast",35,"adjective","contrast",69,0.322429906542056,4,0.08
"contrast",35,"adjective","target",108,0.504672897196262,37,0.74
"contrast",35,"noun","competitor",0,0,0,0
"contrast",35,"noun","distractor",0,0,1,0.02
"contrast",35,"noun","contrast",0,0,2,0.04
"contrast",35,"noun","target",0,0,47,0.94
"contrast",35,"prior","competitor",53,0.286486486486487,16,0.32
"contrast",35,"prior","distractor",68,0.367567567567568,8,0.16
"contrast",35,"prior","contrast",36,0.194594594594595,10,0.2
"contrast",35,"prior","target",28,0.151351351351351,16,0.32
"contrast",36,"adjective","competitor",151,0.563432835820896,44,0.88
"contrast",36,"adjective","distractor",11,0.041044776119403,1,0.02
"contrast",36,"adjective","contrast",60,0.223880597014925,0,0
"contrast",36,"adjective","target",46,0.171641791044776,5,0.1
"contrast",36,"noun","competitor",0,0,5,0.1
"contrast",36,"noun","distractor",0,0,0,0
"contrast",36,"noun","contrast",0,0,3,0.06
"contrast",36,"noun","target",0,0,42,0.84
"contrast",36,"prior","competitor",70,0.339805825242718,16,0.32
"contrast",36,"prior","distractor",58,0.281553398058252,7,0.14
"contrast",36,"prior","contrast",54,0.262135922330097,11,0.22
"contrast",36,"prior","target",24,0.116504854368932,16,0.32
"contrast",37,"adjective","competitor",30,0.135746606334842,18,0.36
"contrast",37,"adjective","distractor",25,0.113122171945701,1,0.02
"contrast",37,"adjective","contrast",29,0.131221719457014,1,0.02
"contrast",37,"adjective","target",137,0.619909502262443,30,0.6
"contrast",37,"noun","competitor",0,0,4,0.08
"contrast",37,"noun","distractor",1,0.111111111111111,0,0
"contrast",37,"noun","contrast",2,0.222222222222222,0,0
"contrast",37,"noun","target",6,0.666666666666667,46,0.92
"contrast",37,"prior","competitor",76,0.444444444444444,16,0.32
"contrast",37,"prior","distractor",8,0.0467836257309941,10,0.2
"contrast",37,"prior","contrast",29,0.169590643274854,12,0.24
"contrast",37,"prior","target",58,0.339181286549708,12,0.24
"contrast",38,"adjective","competitor",130,0.448275862068966,19,0.38
"contrast",38,"adjective","distractor",13,0.0448275862068966,1,0.02
"contrast",38,"adjective","contrast",52,0.179310344827586,1,0.02
"contrast",38,"adjective","target",95,0.327586206896552,29,0.58
"contrast",38,"noun","competitor",0,0,4,0.08
"contrast",38,"noun","distractor",0,0,0,0
"contrast",38,"noun","contrast",0,0,0,0
"contrast",38,"noun","target",0,0,46,0.92
"contrast",38,"prior","competitor",93,0.354961832061069,12,0.24
"contrast",38,"prior","distractor",83,0.316793893129771,14,0.28
"contrast",38,"prior","contrast",34,0.129770992366412,10,0.2
"contrast",38,"prior","target",52,0.198473282442748,14,0.28
"contrast",39,"adjective","competitor",49,0.270718232044199,17,0.34
"contrast",39,"adjective","distractor",0,0,1,0.02
"contrast",39,"adjective","contrast",15,0.0828729281767956,1,0.02
"contrast",39,"adjective","target",117,0.646408839779006,31,0.62
"contrast",39,"noun","competitor",14,0.25,10,0.2
"contrast",39,"noun","distractor",6,0.107142857142857,1,0.02
"contrast",39,"noun","contrast",6,0.107142857142857,0,0
"contrast",39,"noun","target",30,0.535714285714286,39,0.78
"contrast",39,"prior","competitor",19,0.124183006535948,7,0.14
"contrast",39,"prior","distractor",27,0.176470588235294,20,0.4
"contrast",39,"prior","contrast",64,0.418300653594771,8,0.16
"contrast",39,"prior","target",43,0.281045751633987,15,0.3
"contrast",40,"adjective","competitor",60,0.217391304347826,15,0.3
"contrast",40,"adjective","distractor",10,0.036231884057971,1,0.02
"contrast",40,"adjective","contrast",15,0.0543478260869565,4,0.08
"contrast",40,"adjective","target",191,0.692028985507246,30,0.6
"contrast",40,"noun","competitor",0,0,8,0.16
"contrast",40,"noun","distractor",0,0,0,0
"contrast",40,"noun","contrast",0,0,0,0
"contrast",40,"noun","target",0,0,42,0.84
"contrast",40,"prior","competitor",52,0.186379928315412,9,0.18
"contrast",40,"prior","distractor",117,0.419354838709677,22,0.44
"contrast",40,"prior","contrast",32,0.114695340501792,11,0.22
"contrast",40,"prior","target",78,0.279569892473118,8,0.16
"nocontrast",11,"adjective","competitor",64,0.32,29,0.58
"nocontrast",11,"adjective","distractor",38,0.19,7,0.14
"nocontrast",11,"adjective","contrast",8,0.04,3,0.06
"nocontrast",11,"adjective","target",90,0.45,11,0.22
"nocontrast",11,"noun","competitor",5,0.108695652173913,3,0.06
"nocontrast",11,"noun","distractor",1,0.0217391304347826,0,0
"nocontrast",11,"noun","contrast",16,0.347826086956522,0,0
"nocontrast",11,"noun","target",24,0.521739130434783,47,0.94
"nocontrast",11,"prior","competitor",32,0.146118721461187,9,0.18
"nocontrast",11,"prior","distractor",26,0.118721461187215,12,0.24
"nocontrast",11,"prior","contrast",81,0.36986301369863,17,0.34
"nocontrast",11,"prior","target",80,0.365296803652968,12,0.24
"nocontrast",12,"adjective","competitor",81,0.313953488372093,33,0.66
"nocontrast",12,"adjective","distractor",21,0.0813953488372093,3,0.06
